Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	2.628e-07	1.597e-03	3.584e-03	1.717e-06	3.852e-06	56	26	30	0.464	930.348	930.438	0.597	0.861
2.632e-07	9.711e-06	3.717e-03	1.577e-02	3.995e-06	1.694e-05	62	28	34	0.452	930.438	931.318	0.866	3.007
9.725e-06	1.081e-05	1.629e-02	1.711e-02	1.750e-05	1.838e-05	64	28	36	0.438	931.319	931.379	3.009	3.156
1.083e-05	1.885e-05	1.752e-02	2.268e-02	1.882e-05	2.436e-05	88	38	50	0.432	931.380	931.751	3.189	4.105
1.887e-05	5.072e-05	2.337e-02	3.747e-02	2.510e-05	4.023e-05	86	36	50	0.419	931.752	932.727	4.101	6.541
5.080e-05	1.063e-04	3.874e-02	5.548e-02	4.159e-05	5.952e-05	84	34	50	0.405	932.728	933.825	6.538	9.343
1.064e-04	1.790e-04	5.753e-02	7.427e-02	6.172e-05	7.964e-05	82	32	50	0.390	933.828	934.855	9.341	12.045
1.793e-04	2.806e-04	7.729e-02	9.641e-02	8.287e-05	1.033e-04	80	30	50	0.375	934.858	935.946	12.044	15.010
2.810e-04	3.510e-04	1.012e-01	1.129e-01	1.084e-04	1.210e-04	128	46	82	0.359	935.950	936.561	15.097	16.841
3.515e-04	4.411e-04	1.163e-01	1.301e-01	1.245e-04	1.392e-04	126	44	82	0.349	936.565	937.244	16.844	18.834
4.417e-04	5.389e-04	1.341e-01	1.480e-01	1.436e-04	1.584e-04	124	42	82	0.339	937.249	937.892	18.838	20.779
5.397e-04	6.547e-04	1.530e-01	1.683e-01	1.637e-04	1.800e-04	122	40	82	0.328	937.897	938.566	20.784	22.863
6.556e-04	7.952e-04	1.743e-01	1.919e-01	1.865e-04	2.051e-04	120	38	82	0.317	938.571	939.284	22.869	25.160
7.964e-04	8.560e-04	1.993e-01	2.065e-01	2.130e-04	2.207e-04	118	36	82	0.305	939.290	939.565	25.167	26.082
